Genes_in_block	deletion_gp	Human_chr
2	1	2
2	2	3
3	3	6
2	4	8
4	5	11
2	6	11
3	7	11
3	8	11
3	9	11
2	10	12
4	11	14
5	12	14
5	13	14
2	14	14
7	15	14
3	16	14
3	17	16
2	18	16
4	19	16
2	20	16
3	21	16
1	22	17
4	23	19
7	24	19
2	25	19
3	26	19
3	27	19
2	28	19
3	29	19
3	30	19
2	31	19
2	32	19
2	33	19
2	34	19
3	35	19
3	36	19
5	37	19
3	38	19
6	39	19
2	40	19
3	41	19
4	42	19
2	43	19
2	44	19
2	45	19
5	46	19
3	47	19
2	48	20
3	49	X
6	50	X
2	51	X
4	52	X
1	singleton	2
1	singleton	6
1	singleton	6
1	singleton	6
1	singleton	6
1	singleton	6
1	singleton	6
1	singleton	6
1	singleton	8
1	singleton	11
1	singleton	11
1	singleton	11
1	singleton	11
1	singleton	11
1	singleton	11
1	singleton	11
1	singleton	12
1	singleton	12
1	singleton	12
1	singleton	12
1	singleton	12
1	singleton	12
1	singleton	12
1	singleton	12
1	singleton	12
1	singleton	12
1	singleton	14
1	singleton	14
1	singleton	14
1	singleton	14
1	singleton	14
1	singleton	14
1	singleton	14
1	singleton	14
1	singleton	14
1	singleton	14
1	singleton	14
1	singleton	14
1	singleton	16
1	singleton	16
1	singleton	16
1	singleton	16
1	singleton	16
1	singleton	17
1	singleton	17
1	singleton	17
1	singleton	17
1	singleton	17
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	19
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
1	singleton	X
