OmimID	Gene
100050	-
100070	-
100100	-
100200	-
100300	-
100500	-
100600	-
100640	ALDH1A1
100650	ALDH2
100660	ALDH3A1
100670	ALDH1B1
100675	-
100678	ACAT2
100680	-
100690	CHRNA1
100700	-
100710	CHRNB1
100720	CHRND
100725	CHRNE
100730	CHRNG
100735	-
100740	ACHE
100790	ASCL1
100800	-
100820	-
100850	ACO2
100880	ACO1
100900	-
101000	-
101120	-
101200	-
101400	-
101600	-
101800	-
101805	-
101840	-
101850	-
101900	-
102000	-
102100	-
102150	-
102200	-
102300	-
102350	-
102370	-
102400	-
102480	ACR
102490	-
102500	-
102510	-
102520	-
102525	ACRV1
102530	-
102540	ACTC1
102545	ACTG2
102550	-
102560	ACTG1
102565	FLNC
102570	-
102573	ACTN2
102574	ACTN3
102575	ACTN1
102576	ACVR1
102577	RFC4
102578	PML
102579	RFC1
102581	ACVR2A
102582	STAT3
102590	-
102593	AOAH
102595	ACYP2
102600	APRT
102610	ACTA1
102620	ACTA2
102630	ACTB
102640	-
102642	SOAT1
102645	APEH
102650	-
102660	-
102670	MADCAM1
102680	ADD1
102681	ADD2
102699	AAVS1
102700	-
102710	-
102720	DPP4
102730	-
102750	ADK
102770	AMPD1
102771	AMPD2
102772	AMPD3
102775	ADORA1
102776	ADORA2A
102777	-
102800	-
102900	-
102910	ATP5B
102920	-
102930	-
102940	-
102970	-
102980	ADCYAP1
102981	ADCYAP1R1
102990	-
103000	AK1
103020	AK2
103030	AK4
103050	-
103060	ADSS
103070	ADCY8
103071	ADCY2
103072	ADCY1
103100	-
103180	ARF1
103188	ARF5
103190	ARF3
103195	PLIN2
103200	-
103220	SLC25A4
103230	-
103260	FDX1
103270	FDXR
103275	ADM
103280	H19
103285	-
103300	-
103320	AGRN
103321	-
103390	AHNAK
103400	-
103420	-
103470	-
103500	-
103580	-
103581	-
103600	ALB
103700	ADH1A
103710	ADH5
103720	ADH1B
103730	ADH1C
103735	ADH6
103740	ADH4
103780	-
103800	-
103830	AKR1A1
103850	ALDOA
103870	ALDOC
103880	AKR1B1
103890	-
103900	-
103920	-
103950	A2M
104000	-
104100	-
104110	-
104130	-
104145	AFM
104150	AFP
104155	ZFHX3
104160	GANAB
104170	NAGA
104175	GGTA1P
104180	GANC
104200	-
104210	ADRA2A
104219	ADRA1D
104220	ADRA1B
104221	ADRA1A
104222	-
104225	LRPAP1
104230	FUT4
104240	ST3GAL4
104250	ADRA2C
104260	ADRA2B
104290	-
104300	-
104310	-
104311	PSEN1
104350	-
104400	-
104500	-
104510	-
104530	-
104570	-
104600	-
104610	AOC1
104613	CCT6A
104614	SLC3A1
104615	SLC7A1
104620	ACY1
104640	AREG
104650	AMY2A
104660	AMY2B
104700	AMY1A
104701	AMY1B
104702	AMY1C
104740	-
104750	SAA1
104751	SAA2
104752	SAA4
104760	APP
104770	APCS
104775	APLP1
104776	APLP2
105120	-
105150	-
105200	-
105210	-
105250	-
105300	-
105400	-
105500	-
105550	-
105563	-
105565	-
105570	-
105580	-
105590	ALK
105600	CDAN3
105650	-
105800	ANIB1
105805	-
105830	-
105835	-
105850	ANG
106050	-
106070	-
106100	-
106150	AGT
106160	-
106165	AGTR1
106180	ACE
106190	-
106195	SLC4A3
106200	-
106210	-
106220	-
106230	-
106240	-
106250	AFA
106260	-
106280	-
106300	-
106400	-
106410	ANK2
106490	ANXA3
106491	ANXA4
106500	-
106600	-
106700	TAPVR1
106750	-
106900	-
106990	-
106995	-
107000	-
107100	-
107200	-
107240	-
107250	-
107253	-
107254	MIC12
107257	-
107260	-
107265	CD19
107266	CD22
107269	CD44
107270	CD38
107271	CD59
107272	CD72
107273	CD69
107280	SERPINA3
107285	SLPI
107290	-
107300	SERPINC1
107310	SLC9A1
107320	-
107323	ALDH7A1
107325	CD3EAP
107400	SERPINA1
107410	SERPINA2P
107440	-
107450	IFNAR1
107460	-
107470	IFNGR1
107480	-
107500	-
107550	-
107580	TFAP2A
107600	-
107601	-
107640	-
107650	-
107670	APOA2
107680	APOA1
107690	APOA4
107700	-
107710	APOC1
107720	APOC3
107730	APOB
107740	APOD
107741	APOE
107748	APEX1
107750	-
107760	APOF
107770	LRP1
107773	NR2F2
107776	AQP1
107777	AQP2
107800	-
107820	RARS
107830	ARG2
107840	-
107850	-
107900	-
107910	CYP19A1
107920	-
107930	DDC
107940	ARRB1
107941	ARRB2
107950	-
107970	-
108000	-
108010	-
108050	-
108100	-
108110	-
108120	-
108130	-
108140	-
108145	-
108200	-
108300	-
108320	-
108330	CYP1A1
108340	-
108345	NAT1
108355	GRB2
108360	ASGR1
108361	ASGR2
108370	ASNS
108390	-
108400	-
108410	NARS
108420	-
108450	-
108500	-
108600	SAX1
108650	-
108700	-
108720	-
108721	-
108725	ATHS
108728	ACLY
108729	ATP5C1
108730	ATP2A1
108731	ATP2B1
108732	ATP2B4
108733	ATP2B2
108740	ATP2A2
108745	ATP6V0C
108746	ATP6V1E1
108760	-
108770	-
108780	NPPA
108800	ASD1
108900	-
108950	-
108960	NPR1
108961	NPR2
108962	NPR3
108970	-
108980	-
108985	-
108990	MIC7
109000	-
109050	-
109090	SSB
109091	CALR
109092	TRIM21
109100	-
109110	-
109120	-
109130	-
109135	AXL
109150	-
109160	-
109170	LST1
109180	-
109190	SLC1A5
109195	BPI
109200	-
109270	SLC4A1
109280	SLC4A2
109300	-
109350	-
109390	-
109400	-
109480	BSG
109500	-
109530	CD48
109535	CD40
109540	-
109543	-
109545	TNFRSF17
109560	BCL3
109565	BCL6
109580	BTG1
109600	-
109610	TSPO
109630	ADRB1
109635	ADRBK1
109636	ADRBK2
109640	-
109650	-
109660	-
109670	-
109675	ST6GAL1
109684	HSD17B1
109685	HSD17B2
109690	ADRB2
