"id"	"short_desc"	"missing"	"mean"	"sd"	"pvalue"	"long_desc"
"MP:0002169"	"no abnormal phenotype detected"	34	28.962	4.58733033469355	0.295	""
"MP:0001262"	"decreased body weight"	14	19.342	3.8566708324551	0.197	"\"lower than normal average weight\"\" [PMID:10709991]\""
"MP:0001402"	"hypoactivity"	7	5.608	2.09492833403072	0.618	""
"MP:0002083"	"premature death"	6	14.18	3.28700538551497	0.015	""
"MP:0011101"	"partial prenatal lethality"	6	3.902	1.77751386930048	0.267	"\"the appearance of lower than Mendelian ratios of organisms of a given genotype due to death of some, but not all of the organisms between fertilization and birth (Mus: approximately E18.5)\"\" [MGI:csmith]\""
"MP:0001925"	"male infertility"	6	8.707	2.50428081940153	0.31	"\"inability of male to produce live offspring\"\" [ISBN:0-683-40008-8]\""
"MP:0001732"	"postnatal growth retardation"	5	10.445	2.76344198629383	0.071	"\"slow or limited development after birth\"\" [ISBN:0-683-40008-8]\""
"MP:0002118"	"abnormal lipid homeostasis"	5	2.302	1.36038474213975	0.072	"\"anomaly in the processes involved in the maintenance of an internal equilibrium of lipids in the fluids and tissues\"\" [MGI:csmith]\""
"MP:0002412"	"increased susceptibility to bacterial infection"	5	2.645	1.48565883774916	0.17	"\"greater likelihood that an organism will develop ill effects from a bacterial infection or from components of or toxins produced by bacteria\"\" [MGI:cwg]\""
"MP:0003960"	"increased lean body mass"	4	0.601	0.741855342603495	0	"\"greater amount of the fat-free physical bulk or volume of the body including all its components except adipose (fat) tissue\"\" [MGI:csmith]\""
"MP:0002411"	"decreased susceptibility to bacterial infection"	4	0.695	0.801634341590739	0.002	"\"reduced likelihood that an organism will develop ill effects from a bacterial infection or from components of or toxins produced by bacteria\"\" [MGI:cwg]\""
"MP:0001265"	"decreased body size"	4	13.457	3.27488562790762	0.005	"\"smaller than average body weight, height and/or length of an organism compared to controls\"\" [ISBN:0-683-40008-8, PMID:7854452]\""
"MP:0005348"	"increased T cell proliferation"	4	0.732	0.829978833986063	0.005	"\"increase in the ability of a naive T cell population to undergo rapid expansion by cell division in response to stimuli\"\" [ISBN:0-8153-1691-7, MGI:cwg]\""
"MP:0002376"	"abnormal dendritic cell physiology"	4	1.222	1.02848129480986	0.027	"\"any functional anomaly of the immunocompetent cells of the lymphoid and hemopoietic systems and skin, which function to process antigens and present them to T cells, thus stimulating cellular immunity\"\" [J:85808, MESH:A11.066.270]\""
"MP:0011098"	"complete embryonic lethality during organogenesis"	4	10.035	2.81134819591574	0.036	"\"death of all organisms of a given genotype in a population between embryo turning and the completion of organogenesis (Mus: E9 to less than E14)\"\" [MGI:csmith]\""
"MP:0004952"	"increased spleen weight"	4	1.526	1.07632824105032	0.048	"\"greater than average weight of the organ that functions to filter blood and to store red corpuscles and platelets\"\" [MGI:csmith]\""
"MP:0005018"	"decreased T cell number"	4	2.064	1.35267650742287	0.245	"\"fewer than normal T cell numbers\"\" [MGI:cwg]\""
"MP:0011085"	"complete postnatal lethality"	4	5.997	2.22619562189556	0.507	"\"premature death anytime between the neonatal period and weaning age of all organisms of a given genotype in a population (Mus: P1 to approximately 3 weeks of age)\"\" [MGI:csmith]\""
"MP:0001785"	"edema"	4	3.243	1.45535874239621	0.73	""
"MP:0001923"	"reduced female fertility"	4	3.479	1.65235870478819	0.773	"\"reduced ability of female to produce live offspring\"\" [ISBN:0-683-40008-8]\""
"MP:0005017"	"decreased B cell number"	4	3.631	1.76520677399418	1	"\"fewer than normal number of cells that are formed in the bone marrow, migrate to the peripheral lymphatic system, and mature into plasma cells or memory cells; these cells are involved in humoral immunity\"\" [ISBN:0-8036-0655-99, MGI:smb]\""
"MP:0009289"	"decreased epididymal fat pad weight"	3	0.148	0.385024991713842	0.001	"\"less than average weight of the encapsulated adipose tissue associated with the epididymis\"\" [MGI:csmith]\""
"MP:0011086"	"partial postnatal lethality"	3	10.931	2.86014325155567	0.007	"\"the appearance of lower than Mendelian ratios of organisms of a given genotype due to death of some, but not all of the organisms anytime between the neonatal period and weaning age (Mus: P1 to approximately 3 weeks of age)\"\" [MGI:csmith]\""
"MP:0002608"	"increased hematocrit"	3	0.795	0.6506907087076	0.008	""
"MP:0002398"	"abnormal bone marrow cell morphology/development"	3	0.597	0.730153493536889	0.016	"\"any structural anomaly of the cells found in the bone marrow\"\" [MGI:cwg]\""
"MP:0000333"	"decreased bone marrow cell number"	3	0.692	0.793577825903525	0.024	""
"MP:0000060"	"delayed bone ossification"	3	0.745	0.796623882148665	0.031	"\"late onset of the formation of bone\"\" [PMID:9144284]\""
"MP:0005459"	"decreased percent body fat"	3	0.942	0.927089799046185	0.064	"\"less fat, relative to controls, as a percentage of total body weight\"\" [MGI:cwg]\""
"MP:0002113"	"abnormal skeleton development"	3	0.967	0.953320418232936	0.068	""
"MP:0002675"	"asthenozoospermia"	3	1.081	0.970247587155145	0.086	"\"loss or reduction of the mobility of the spermatozoa, frequently associated with infertility\"\" [ISBN:0-683-40008-8, MGI:pvb]\""
"MP:0010024"	"increased total body fat amount"	3	1.199	0.965573058515683	0.09	""
"MP:0002444"	"abnormal T cell physiology"	3	1.156	0.972939160796096	0.092	"\"any functional anomaly of lymphocytes that are responsible for cell-mediated immunity and immune system regulation\"\" [MGI:csmith]\""
"MP:0001552"	"increased circulating triglyceride level"	3	1.117	1.00614279469831	0.096	""
"MP:0001698"	"decreased embryo size"	3	6.876	2.35120227801696	0.128	"\"smaller proportions of an embryo compared to littermates or other controls (sensu Mus: up to E14, or the completion of organogenesis)\"\" [MGI:cwg]\""
"MP:0003984"	"embryonic growth retardation"	3	6.91	2.32708300567799	0.137	""
"MP:0000715"	"decreased thymocyte number"	3	1.432	1.03559086923768	0.148	""
"MP:0002628"	"hepatic steatosis"	3	1.402	1.09434619458085	0.154	"\"an accumulation of fat deposits in the liver\"\" [MGI:pvb]\""
"MP:0008079"	"\"decreased CD8-positive, alpha-beta T cell number\""	3	1.42	1.11123122473895	0.161	"\"reduction in the number of the regulatory subset of T lymphocytes that are involved in MHC class I restricted interactions\"\" [MGI:csmith]\""
"MP:0000130"	"abnormal trabecular bone morphology"	3	1.459	1.09064591344235	0.176	"\"any structural anomaly of bone that has a lattice-like or spongy structure; it is highly vascular and contains intercommunicating spaces filled with bone marrow\"\" [ISBN:0-683-40008-8, MGI:csmith]\""
"MP:0001405"	"impaired coordination"	3	6.139	2.17633072289471	0.181	""
"MP:0005659"	"decreased susceptibility to diet-induced obesity"	3	1.624	1.1532362958015	0.353	"\"less likely to become excessively overweight or to increase fat in the subcutaneous connective tissue as a result of consuming a diet geared to increase body fat\"\" [MGI:cwg]\""
"MP:0001800"	"abnormal humoral immune response"	3	1.774	1.22655143733495	0.395	"\"any functional anomaly of the aspect of immunity that is mediated by secreted antibodies produced in the cells of the B lymphocyte lineage (B cell) and the accessory processes that accompany it, including Th2 activation and cytokine production, germinal center formation and isotype switching, affinity maturation and memory cell generation; it also refers to the effector functions of antibody, which include pathogen and toxin neutralization, classical complement activation, and opsonin promotion of phagocytosis and pathogen elimination\"\" [ISBN:081533642X, MGI:csmith]\""
"MP:0005559"	"increased circulating glucose level"	3	1.567	1.20289565547389	0.398	"\"greater than the normal concentration in the blood of this major monosaccharide of the body; it is an important energy source\"\" [MGI:cwg, RGD:cur]\""
"MP:0000691"	"enlarged spleen"	3	4.295	1.76212374142115	0.596	"\"increased spleen size\"\" [MGI:cwg]\""
"MP:0001924"	"infertility"	3	2.007	1.15684453981047	0.672	""
"MP:0002079"	"increased circulating insulin level"	3	2.314	1.29965114284299	0.68	"\"greater than normal levels of insulin in blood\"\" [ISBN:0-683-40008-8]\""
"MP:0005560"	"decreased circulating glucose level"	3	2.151	1.33865267750488	0.692	"\"less than the normal concentration in the blood of this major monosaccharide of the body; it is an important energy source\"\" [MGI:cwg, RGD:cur]\""
"MP:0002270"	"abnormal pulmonary alveolus morphology"	3	2.027	1.30689669789887	0.693	"\"any structural anomaly of the small sac-like dilations of the distal airspace of the lung; they are present along the walls of the alveolar sacs, alveolar ducts and terminal bronchioles; gas exchange of oxygen and carbon dioxide between alveolar air and blood in the pulmonary capillaries takes place across the cell walls\"\" [MGI:csmith]\""
"MP:0001861"	"lung inflammation"	3	2.453	1.29980016944163	0.694	"\"local accumulation of fluid, plasma proteins, and leukocytes in the lung\"\" [ISBN:0-8153-1691-7, MGI:cwg]\""
"MP:0005095"	"decreased T cell proliferation"	3	2.112	1.29194625473552	0.709	"\"reduction in the ability of a naive T cell population to undergo rapid expansion by cell division in response to stimuli\"\" [ISBN:0-8153-1691-7]\""
"MP:0002078"	"abnormal glucose homeostasis"	3	2.447	1.38025218568785	0.713	"\"anomaly in the processes involved in the maintenance of an internal equilibrium of glucose in the fluids and tissues\"\" [MGI:csmith]\""
"MP:0000914"	"exencephaly"	3	2.932	1.41823389727766	1	"\"neurocranial defects resulting in exposure or extrusion of the brain\"\" [ISBN:0-683-40008-8, PMID:9753320]\""
"MP:0001263"	"weight loss"	3	2.771	1.54302946826687	1	"\"progressive reduction of body weight below normal average for age\"\" [PMID:9420327]\""
"MP:0005292"	"improved glucose tolerance"	3	2.622	1.33300146019908	1	"\"better than the normal response to oral consumption or intravenous injection of specified amounts of glucose and indicative of insulin sensitivity; measured by determining whole blood or plasma sugar level in a fasting state before and after taking glucose at specified intervals\"\" [MESH:C18.452.394.952.500]\""
"MP:0005293"	"impaired glucose tolerance"	3	2.756	1.4861603791895	1	"\"less than the normal response to oral consumption or intravenous injection of specified amounts of glucose and indicative of insulin resistance; measured by determining whole blood or plasma sugar level in a fasting state before and after taking glucose at specified intervals\"\" [MESH:C18.452.394.952.500]\""
"MP:0002799"	"abnormal passive avoidance behavior"	2	0.042	0.200689502157627	0	"\"anomaly in the ability of an animal to enter an hostile environment where it receives a unpleasant or punishing stimuli applied previously with prolonged latency\"\" [MGI:CFG]\""
"MP:0003458"	"decreased circulating ketone body level"	2	0.023	0.149978310076802	0	"\"less than the normal amount of acetoacetate, 3-hydroxybutyrate (beta-hydroxybutyrate) and/or acteone in the blood, which are produced by fatty acid and carbohydrate metabolism and seen in conditions such as starvation and diabetes mellitus\"\" [ISBN:0-683-40008-8]\""
"MP:0008050"	"decreased memory T cell number"	2	0.056	0.230036772966665	0	"\"reduction in the number of distinctly differentiated long-lived T cells that have the phenotype CD45RO-positive and CD127-positive\"\" [CL:0000813, GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, ISBN:0781735149]\""
"MP:0008765"	"decreased mast cell degranulation"	2	0.02	0.140070052543788	0	"\"reduction in the exocytosis of secretory granules containing preformed mediators such as histamine, serotonin, and neutral proteases by a mast cell\"\" [GO:0043303, MGI:tmeehan]\""
