"id"	"short_desc"	"missing"	"mean"	"sd"	"pvalue"	"q"	"pheno.df.q[, 7]"
"MP:0002169"	"no abnormal phenotype detected"	34	28.962	4.58733033469355	0.295	0.432183908045977	""
"MP:0001262"	"decreased body weight"	14	19.342	3.8566708324551	0.197	0.432183908045977	"\"lower than normal average weight\"\" [PMID:10709991]\""
"MP:0001402"	"hypoactivity"	7	5.608	2.09492833403072	0.618	0.618	""
"MP:0002083"	"premature death"	6	14.18	3.28700538551497	0.015	0.231384615384615	""
"MP:0011101"	"partial prenatal lethality"	6	3.902	1.77751386930048	0.267	0.432183908045977	"\"the appearance of lower than Mendelian ratios of organisms of a given genotype due to death of some, but not all of the organisms between fertilization and birth (Mus: approximately E18.5)\"\" [MGI:csmith]\""
"MP:0001925"	"male infertility"	6	8.707	2.50428081940153	0.31	0.432183908045977	"\"inability of male to produce live offspring\"\" [ISBN:0-683-40008-8]\""
"MP:0001732"	"postnatal growth retardation"	5	10.445	2.76344198629383	0.071	0.404059701492537	"\"slow or limited development after birth\"\" [ISBN:0-683-40008-8]\""
"MP:0002118"	"abnormal lipid homeostasis"	5	2.302	1.36038474213975	0.072	0.404059701492537	"\"anomaly in the processes involved in the maintenance of an internal equilibrium of lipids in the fluids and tissues\"\" [MGI:csmith]\""
"MP:0002412"	"increased susceptibility to bacterial infection"	5	2.645	1.48565883774916	0.17	0.432183908045977	"\"greater likelihood that an organism will develop ill effects from a bacterial infection or from components of or toxins produced by bacteria\"\" [MGI:cwg]\""
"MP:0003960"	"increased lean body mass"	4	0.601	0.741855342603495	0	0.0341818181818182	"\"greater amount of the fat-free physical bulk or volume of the body including all its components except adipose (fat) tissue\"\" [MGI:csmith]\""
"MP:0002411"	"decreased susceptibility to bacterial infection"	4	0.695	0.801634341590739	0.002	0.0626666666666667	"\"reduced likelihood that an organism will develop ill effects from a bacterial infection or from components of or toxins produced by bacteria\"\" [MGI:cwg]\""
"MP:0001265"	"decreased body size"	4	13.457	3.27488562790762	0.005	0.110588235294118	"\"smaller than average body weight, height and/or length of an organism compared to controls\"\" [ISBN:0-683-40008-8, PMID:7854452]\""
"MP:0005348"	"increased T cell proliferation"	4	0.732	0.829978833986063	0.005	0.110588235294118	"\"increase in the ability of a naive T cell population to undergo rapid expansion by cell division in response to stimuli\"\" [ISBN:0-8153-1691-7, MGI:cwg]\""
"MP:0002376"	"abnormal dendritic cell physiology"	4	1.222	1.02848129480986	0.027	0.274378378378378	"\"any functional anomaly of the immunocompetent cells of the lymphoid and hemopoietic systems and skin, which function to process antigens and present them to T cells, thus stimulating cellular immunity\"\" [J:85808, MESH:A11.066.270]\""
"MP:0011098"	"complete embryonic lethality during organogenesis"	4	10.035	2.81134819591574	0.036	0.307636363636364	"\"death of all organisms of a given genotype in a population between embryo turning and the completion of organogenesis (Mus: E9 to less than E14)\"\" [MGI:csmith]\""
