Associated Gene Name	Human Ensembl Gene ID	Human Chromosome Name	Human Gene Start (bp)	Human Gene End (bp)	Anole Ensembl Gene ID	Anole Chromosome Name	Anole Chromosome Start (bp)	Anole Chromosome End (bp)	Homology Type
SAMD11	ENSG00000187634	1	860260	879955	ENSACAG00000008644	GL343334.1	672918	708986	ortholog_one2one
NOC2L	ENSG00000188976	1	879584	894689	ENSACAG00000008492	GL344314.1	7700	51235	ortholog_one2one
KLHL17	ENSG00000187961	1	895967	901095	ENSACAG00000001313	GL343334.1	803479	820296	ortholog_one2one
PLEKHN1	ENSG00000187583	1	901877	911245	ENSACAG00000001595	GL343334.1	837489	897919	ortholog_one2one
C1orf170	ENSG00000187642	1	910579	917497	ENSACAG00000001609	GL343334.1	907205	1084936	ortholog_one2one
HES4	ENSG00000188290	1	934342	935552	ENSACAG00000004091	GL343538.1	309240	313331	ortholog_one2one
ISG15	ENSG00000187608	1	948803	949920	ENSACAG00000010190	GL343417.1	420256	422394	ortholog_one2one
AGRN	ENSG00000188157	1	955503	991496	ENSACAG00000001639	GL343925.1	2850	101730	ortholog_one2one
RNF223	ENSG00000237330	1	1007126	1009687	ENSACAG00000011618	GL343647.1	43538	44377	ortholog_one2one
C1orf159	ENSG00000131591	1	1017198	1051741	ENSACAG00000029473	GL343647.1	95031	143369	ortholog_one2one
TTLL10	ENSG00000162571	1	1109264	1133315	ENSACAG00000011625	GL343647.1	300773	347681	ortholog_one2one
TNFRSF18	ENSG00000186891	1	1138888	1142071	ENSACAG00000028745	GL343647.1	346742	357257	ortholog_one2one
TNFRSF4	ENSG00000186827	1	1146706	1149518	ENSACAG00000029577	GL343647.1	363763	368985	ortholog_one2one
FAM132A	ENSG00000184163	1	1177826	1182102	ENSACAG00000005253	AAWZ02038050	1463	12718	ortholog_one2one
UBE2J2	ENSG00000160087	1	1189289	1209265	ENSACAG00000017002	GL344341.1	27277	33511	ortholog_one2one
PUSL1	ENSG00000169972	1	1243947	1247057	ENSACAG00000014111	GL343760.1	144905	188130	ortholog_one2one
CPSF3L	ENSG00000127054	1	1246965	1260071	ENSACAG00000013975	GL343760.1	110632	137199	ortholog_one2one
GLTPD1	ENSG00000224051	1	1260136	1264277	ENSACAG00000013970	GL343760.1	100789	110501	ortholog_one2one
TAS1R3	ENSG00000169962	1	1266694	1270686	ENSACAG00000013878	GL343760.1	84610	98520	ortholog_one2one
DVL1	ENSG00000107404	1	1270656	1284730	ENSACAG00000013652	GL343760.1	4475	60602	ortholog_one2one
MXRA8	ENSG00000162576	1	1288069	1297157	ENSACAG00000009043	GL343701.1	1897	23970	ortholog_one2one
AURKAIP1	ENSG00000175756	1	1309110	1310875	ENSACAG00000009058	GL343701.1	42267	45004	ortholog_one2one
CCNL2	ENSG00000221978	1	1321091	1334708	ENSACAG00000009060	GL343701.1	53195	67246	ortholog_one2one
MRPL20	ENSG00000242485	1	1337288	1342693	ENSACAG00000009143	GL343701.1	70245	74813	ortholog_one2one
ANKRD65	ENSG00000235098	1	1353800	1357149	ENSACAG00000009154	GL343701.1	77665	85256	ortholog_one2one
TMEM88B	ENSG00000205116	1	1361508	1363167	ENSACAG00000003271	GL344464.1	25219	32484	ortholog_one2one
VWA1	ENSG00000179403	1	1370241	1378262	ENSACAG00000028043	AAWZ02039143	6848	8092	ortholog_one2one
TMEM240	ENSG00000205090	1	1470554	1475833	ENSACAG00000020994	GL344201.1	46596	54166	ortholog_one2one
SSU72	ENSG00000160075	1	1477053	1510249	ENSACAG00000013400	GL344201.1	7875	43825	ortholog_one2one
MMP23B	ENSG00000189409	1	1567474	1570639	ENSACAG00000001969	GL343245.1	1508729	1529577	apparent_ortholog_one2one
SLC35E2B	ENSG00000189339	1	1592939	1624167	ENSACAG00000011609	AAWZ02038286	4263	11388	ortholog_one2one
SLC35E2	ENSG00000215790	1	1656277	1677431	ENSACAG00000025582	AAWZ02040307	248	4555	ortholog_one2one
NADK	ENSG00000008130	1	1682671	1711896	ENSACAG00000014371	AAWZ02037388	10040	15642	ortholog_one2one
GNB1	ENSG00000078369	1	1716729	1822495	ENSACAG00000005242	GL344230.1	23295	44057	ortholog_one2one
TMEM52	ENSG00000178821	1	1849029	1850712	ENSACAG00000001785	AAWZ02039019	21	7111	ortholog_one2one
C1orf222	ENSG00000142609	1	1853396	1935276	ENSACAG00000010844	GL344301.1	21	38950	apparent_ortholog_one2one
SKI	ENSG00000157933	1	2160134	2241558	ENSACAG00000010685	GL343996.1	23739	34667	ortholog_one2one
PLCH2	ENSG00000149527	1	2357419	2436969	ENSACAG00000011901	GL343848.1	38473	103113	ortholog_one2one
HES5	ENSG00000197921	1	2460184	2461684	ENSACAG00000003188	AAWZ02040866	817	2763	apparent_ortholog_one2one
TNFRSF14	ENSG00000157873	1	2487078	2496821	ENSACAG00000028826	GL343880.1	124499	139067	apparent_ortholog_one2one
TTC34	ENSG00000215912	1	2567415	2718286	ENSACAG00000007852	GL343880.1	114532	125396	ortholog_one2one
PRDM16	ENSG00000142611	1	2985732	3355185	ENSACAG00000025283	AAWZ02041204	2890	4640	ortholog_one2one
ARHGEF16	ENSG00000130762	1	3370990	3397677	ENSACAG00000017762	GL343629.1	64839	79434	ortholog_one2one
MEGF6	ENSG00000162591	1	3406484	3528059	ENSACAG00000017744	GL343629.1	2924	61699	ortholog_one2one
WRAP73	ENSG00000116213	1	3547331	3569325	ENSACAG00000015291	AAWZ02041498	79	5378	ortholog_one2one
TP73	ENSG00000078900	1	3569084	3652765	ENSACAG00000001622	GL344123.1	32954	70924	ortholog_one2one
CCDC27	ENSG00000162592	1	3668962	3688209	ENSACAG00000001590	GL344123.1	6129	20116	ortholog_one2one
LRRC47	ENSG00000130764	1	3696784	3713068	ENSACAG00000008267	GL343537.1	34785	37527	ortholog_one2one
CEP104	ENSG00000116198	1	3728645	3773778	ENSACAG00000008205	GL343537.1	43878	50548	ortholog_one2one
DFFB	ENSG00000169598	1	3773845	3801993	ENSACAG00000008165	GL343537.1	54670	60453	ortholog_one2one
C1orf174	ENSG00000198912	1	3805689	3816857	ENSACAG00000008161	GL343537.1	60060	61720	ortholog_one2one
AJAP1	ENSG00000196581	1	4714792	4843850	ENSACAG00000008150	GL343537.1	214932	238261	ortholog_one2one
NPHP4	ENSG00000131697	1	5922871	6052533	ENSACAG00000008026	GL343537.1	413294	458521	ortholog_one2one
KCNAB2	ENSG00000069424	1	6051526	6161253	ENSACAG00000002793	AAWZ02035903	4155	4917	apparent_ortholog_one2one
CHD5	ENSG00000116254	1	6161853	6240183	ENSACAG00000002441	GL343833.1	8752	33883	ortholog_one2one
RPL22	ENSG00000116251	1	6241329	6269449	ENSACAG00000002709	GL343833.1	1227	3817	ortholog_one2one
RNF207	ENSG00000158286	1	6265535	6281359	ENSACAG00000002745	AAWZ02035903	23888	35075	ortholog_one2one
ACOT7	ENSG00000097021	1	6324333	6454451	ENSACAG00000024785	AAWZ02039297	2649	7410	ortholog_one2one
NOL9	ENSG00000162408	1	6581407	6614595	ENSACAG00000017123	GL343320.1	1343097	1362156	ortholog_one2one
TAS1R1	ENSG00000173662	1	6615241	6639817	ENSACAG00000011436	GL343969.1	15370	22806	ortholog_one2one
ZBTB48	ENSG00000204859	1	6640061	6649340	ENSACAG00000006089	GL344949.1	11239	15713	ortholog_one2one
PHF13	ENSG00000116273	1	6673745	6684093	ENSACAG00000028993	GL343245.1	757301	765240	apparent_ortholog_one2one
DNAJC11	ENSG00000007923	1	6694228	6761984	ENSACAG00000024682	AAWZ02037969	950	9723	ortholog_one2one
CAMTA1	ENSG00000171735	1	6845384	7829766	ENSACAG00000005047	GL344178.1	64943	88147	ortholog_one2one
VAMP3	ENSG00000049245	1	7831329	7841492	ENSACAG00000005033	GL344178.1	48009	49839	ortholog_one2one
PARK7	ENSG00000116288	1	8014351	8045565	ENSACAG00000017386	GL344178.1	17994	24787	ortholog_one2one
ERRFI1	ENSG00000116285	1	8064464	8086368	ENSACAG00000017376	GL344178.1	978	1532	ortholog_one2one
SLC45A1	ENSG00000162426	1	8377886	8404227	ENSACAG00000015572	AAWZ02036089	2152	14080	apparent_ortholog_one2one
